"team","rat","pwr","off","def","hfa","so_s","ssf","ew","el"
"VCU",7.61,39.58,90.98,24.3,2.87,34.24,34.24,0,0
"Auburn",7.61,41.14,98.2,18.63,2.77,39.06,39.06,0,0
"Georgetown",7.61,40.51,93.97,22.23,2.62,39.13,39.13,0,0
"Wichita St",7.6,39.18,90.81,24.06,2.85,34.92,34.92,0,0
"Kentucky",7.55,41.7,93.83,23.56,2.78,40.79,40.79,0,0
"Mississippi",7.55,40.23,88.83,27.1,2.92,36.14,36.14,0,0
"SMU",7.55,39.35,94.12,20.93,2.86,35.38,35.38,0,0
"NC State",7.53,39.98,93.69,21.98,2.69,36.35,36.35,0,0
"Xavier",7.52,39.62,93.48,21.83,2.89,35.97,35.97,0,0
"Mississippi St",7.51,39.85,91.48,24.06,2.77,36.66,36.66,0,0
"Colorado St",7.51,38.78,92.79,21.68,2.94,32.57,32.57,0,0
"St John's",7.49,38.86,98.5,16.04,2.85,36.72,36.72,0,0
"Northwestern",7.48,39.45,91.09,24.05,2.8,39.77,39.77,0,0
"Marquette",7.42,38.32,91.43,22.58,2.74,38.42,38.42,0,0
"Providence",7.4,38.24,91.45,22.48,2.97,38.43,38.43,0,0
"St Louis",7.39,39.12,92.37,22.44,3.09,31.84,31.84,0,0
"UC Santa Barbara",7.36,38.11,90.87,22.93,2.84,26.84,26.84,0,0
"Arizona St",7.36,37.89,96.19,17.4,2.83,39.71,39.71,0,0
"Washington St",7.35,37.86,89.61,23.95,2.82,37.13,37.13,0,0
"St Mary's CA",7.33,37.75,84.78,28.67,2.86,36.68,36.68,0,0
"Louisiana Tech",7.33,37.85,90.82,22.73,2.88,29.96,29.96,0,0
"North Texas",7.29,37.93,87.48,26.15,2.79,31.51,31.51,0,0
"Ohio",7.27,37.96,94.3,19.36,2.72,30.88,30.88,0,0
"Richmond",7.26,37.72,92.25,21.17,2.65,33.13,33.13,0,0
"Nevada",7.24,37.54,94.66,18.57,2.8,33.01,33.01,0,0
"WKU",7.22,36.18,90.74,21.13,2.81,31.73,31.73,0,0
"Notre Dame",7.21,36.72,94.07,18.35,2.84,39.15,39.15,0,0
"Dayton",7.21,37.45,91.44,21.71,2.77,34.26,34.26,0,0
"Georgia",7.19,36.05,96.29,15.46,2.82,35.83,35.83,0,0
"Davidson",7.18,37.62,90.24,23.07,2.8,31.19,31.19,0,0
"UCF",7.18,36.49,89.82,22.36,2.78,38.85,38.85,0,0
"Toledo",7.14,36.91,96.84,15.76,3.02,30.85,30.85,0,0
"Pepperdine",7.14,37.16,95.96,16.9,2.63,32.76,32.76,0,0
"Butler",7.12,35.53,87.05,24.17,2.85,39.24,39.24,0,0
"Loy Marymount",7.11,35.83,88.56,22.96,2.77,34.75,34.75,0,0
"Winthrop",7.11,35.62,93.71,17.6,3.02,23.73,23.73,0,0
"Pittsburgh",7.11,36.53,91.73,20.5,2.79,36.25,36.25,0,0
"Cincinnati",7.08,34.81,90.74,19.76,2.7,37.45,37.45,0,0
"Missouri St",7.07,36.11,90.94,20.87,2.77,29.7,29.7,0,0
"Vanderbilt",7.03,36.39,92.86,19.22,2.7,36.61,36.61,0,0
"Buffalo",7.03,37.14,96.28,16.55,2.83,30.45,30.45,0,0
"UAB",7.02,36.16,87.74,24.11,2.92,25.53,25.53,0,0
"Colgate",7,35.42,96.36,14.75,2.91,24.86,24.86,0,0
"Nebraska",7,35.97,92.23,19.43,2.95,39.88,39.88,0,0
"Marshall",6.99,35.58,95.65,15.62,2.75,29.98,29.98,0,0
"California",6.97,35.71,87.45,23.96,2.78,38.33,38.33,0,0
"Abilene Chr",6.96,34.7,87.46,22.93,2.9,20.21,20.21,0,0
"E Washington",6.96,36.01,94.93,16.77,2.74,29.01,29.01,0,0
"S Dakota St",6.95,34.63,95.89,14.44,2.87,29.21,29.21,0,0
"San Francisco",6.94,36.26,90.35,21.6,2.7,35.02,35.02,0,0
"Furman",6.93,36.72,93.47,18.95,2.98,27.89,27.89,0,0
"Belmont",6.92,35.02,94.03,16.68,2.85,23.91,23.91,0,0
"Oral Roberts",6.92,34.96,95.99,14.67,2.7,28.49,28.49,0,0
"UC Irvine",6.92,35.26,87.68,23.28,3.05,27.61,27.61,0,0
"UNC Greensboro",6.91,35.37,89.06,22.01,2.73,29.43,29.43,0,0
"Grand Canyon",6.91,35.99,89.08,22.61,2.76,23.32,23.32,0,0
"Tulsa",6.91,35.35,88.43,22.62,2.9,33.02,33.02,0,0
"Akron",6.88,34.41,92.72,17.38,2.9,29.63,29.63,0,0
"South Carolina",6.88,34.67,94.89,15.47,2.77,39.65,39.65,0,0
"Rhode Island",6.86,35.59,91.89,19.39,2.83,35.1,35.1,0,0
"TCU",6.86,33.09,87.8,20.98,2.74,36.94,36.94,0,0
"Wright St",6.82,37.12,95.19,17.62,2.74,25.65,25.65,0,0
"Kent",6.8,33.17,91.56,17.3,2.91,29.52,29.52,0,0
"Indiana St",6.8,32.8,86.04,22.46,2.83,33.18,33.18,0,0
"Texas A&M",6.79,33.43,85.58,23.54,2.82,35.02,35.02,0,0
"Miami FL",6.79,33.71,89.19,20.22,2.71,36.69,36.69,0,0
"Pacific",6.77,33.36,88.38,20.68,2.89,34.44,34.44,0,0
"Liberty",6.74,33.11,85.7,23.11,2.92,20.82,20.82,0,0
"Southern Utah",6.74,32.29,93.73,14.25,2.87,19.46,19.46,0,0
"Massachusetts",6.73,34.45,94.02,16.12,2.78,31.03,31.03,0,0
